    PID TTY      STAT   TIME COMMAND
   1035 ?        Ss     0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
   1065 ?        Ss     0:01 /usr/bin/tor --defaults-torrc /usr/share/tor/tor-service-defaults-torrc -f /etc/tor/torrc --RunAsDaemon 0
   1102 ?        S      0:00 php-fpm: pool www
   1103 ?        S      0:00 php-fpm: pool www
   1107 ?        S      0:00 php-fpm: pool www
   1108 ?        S      0:00 php-fpm: pool www
   1151 ?        Ssl    0:06 /usr/bin/whoopsie -f
   1156 ?        Ss     0:54 /usr/sbin/kerneloops --test
   1158 ?        Ss     0:54 /usr/sbin/kerneloops
   1213 ?        Ssl   47:46 /usr/sbin/mysqld
   1229 ?        SNsl   0:11 /usr/libexec/rtkit-daemon
   1368 ?        Ssl    0:18 /usr/lib/upower/upowerd
   1676 ?        Ssl    0:00 /usr/libexec/colord
   1865 ?        Sl     0:01 gdm-session-worker [pam/gdm-password]
   1896 ?        Ss     0:02 /lib/systemd/systemd --user
   1900 ?        S      0:00 (sd-pam)
   1913 ?        S<sl   0:04 /usr/bin/pulseaudio --daemonize=no --log-target=journal
   1915 ?        SNsl   0:04 /usr/libexec/tracker-miner-fs
   1918 ?        Ss     0:04 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1924 ?        Ssl    0:00 /usr/libexec/gvfsd
   1939 ?        Sl     0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
   1944 ?        Ssl    0:27 /usr/libexec/gvfs-udisks2-volume-monitor
   1948 ?        Sl     0:01 /usr/bin/gnome-keyring-daemon --daemonize --login
   1959 ?        Ssl    0:00 /usr/libexec/gvfs-mtp-volume-monitor
   1963 ?        Ssl    0:00 /usr/libexec/gvfs-goa-volume-monitor
   1967 ?        Sl     0:03 /usr/libexec/goa-daemon
   1975 ?        Sl     0:49 /usr/libexec/goa-identity-service
   1981 ?        Ssl    0:35 /usr/libexec/gvfs-afc-volume-monitor
   1986 ?        Ssl    0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
   1990 ?        S<     0:00 [krfcommd]
   1995 tty2     Ssl+   0:00 /usr/lib/gdm3/gdm-wayland-session /usr/bin/gnome-session --session=gnome
   1998 tty2     Sl+    0:00 /usr/libexec/gnome-session-binary --systemd --session=gnome
   2048 ?        Ssl    0:00 /usr/libexec/gnome-session-ctl --monitor
   2058 ?        Ssl    0:01 /usr/libexec/gnome-session-binary --systemd-service --session=gnome
   2072 ?        Sl     0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
   2073 ?        Rsl  160:25 /usr/bin/gnome-shell
   2080 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
   2099 ?        Sl    36:18 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.8UV0A1 -listen 4 -listen 5 -displayfd 6 -listen 7
   2119 ?        Ssl    0:00 /usr/libexec/xdg-permission-store
   2124 ?        Sl     0:01 /usr/libexec/gnome-shell-calendar-server
   2135 ?        Ssl    0:00 /usr/libexec/evolution-source-registry
   2145 ?        Sl     0:01 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
   2147 ?        Sl     0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
   2161 ?        Sl     0:00 /usr/libexec/dconf-service
   2165 ?        Ssl    0:00 /usr/libexec/gsd-a11y-settings
   2168 ?        Ssl    0:05 /usr/libexec/gsd-color
   2169 ?        Ssl    0:00 /usr/libexec/gsd-datetime
   2170 ?        Ssl    0:40 /usr/libexec/gsd-housekeeping
   2171 ?        Ssl    0:00 /usr/libexec/gsd-keyboard
   2172 ?        Ssl    0:01 /usr/libexec/gsd-media-keys
   2173 ?        Ssl    0:01 /usr/libexec/gsd-power
   2176 ?        Ssl    0:00 /usr/libexec/gsd-print-notifications
   2180 ?        Ssl    0:02 /usr/libexec/gsd-rfkill
   2181 ?        Ssl    0:00 /usr/libexec/gsd-screensaver-proxy
   2187 ?        Ssl    1:11 /usr/libexec/gsd-sharing
   2192 ?        Ssl    0:00 /usr/libexec/gsd-smartcard
   2194 ?        Ssl    0:00 /usr/libexec/gsd-sound
   2195 ?        Ssl    0:00 /usr/libexec/gsd-usb-protection
   2209 ?        Ssl    0:00 /usr/libexec/gsd-wacom
   2210 ?        Ssl    0:00 /usr/libexec/gsd-wwan
   2234 ?        Sl     0:01 /usr/libexec/evolution-data-server/evolution-alarm-notify
   2241 ?        Sl     0:00 /usr/libexec/gsd-printer
   2242 ?        Sl     0:00 /usr/libexec/gsd-disk-utility-notify
   2259 ?        Sl     0:00 /usr/bin/python3 /usr/bin/blueman-applet
   2336 ?        Ssl    0:04 /usr/libexec/evolution-calendar-factory
   2347 ?        Sl     9:57 ibus-daemon --panel disable -r --xim
   2355 ?        Sl     0:00 /usr/libexec/ibus-dconf
   2357 ?        Sl     0:50 /usr/libexec/ibus-extension-gtk3
   2359 ?        Sl     0:00 /usr/libexec/ibus-x11 --kill-daemon
   2362 ?        Sl     0:00 /usr/libexec/ibus-portal
   2374 ?        Ssl    0:00 /usr/libexec/gsd-xsettings
   2390 ?        Sl     3:27 /usr/libexec/ibus-engine-simple
   2413 ?        Ssl    0:03 /usr/libexec/evolution-addressbook-factory
   2430 ?        Sl     0:00 /usr/bin/python3 /usr/bin/blueman-tray
   2447 ?        Ss     0:00 /usr/lib/bluetooth/obexd
   2463 ?        Sl    29:32 ./jetbrains-toolbox --minimize
   2467 ?        Ssl    0:03 /home/t3ch/.local/share/JetBrains/Toolbox/bin/jetbrains-toolbox --minimize
   2520 ?        Ssl  138:06 /usr/libexec/gnome-terminal-server
   2525 pts/0    Ss+    0:01 bash
   2531 ?        Sl    31:24 geany
   2573 ?        Ssl    0:00 /usr/libexec/xdg-document-portal
   2845 ?        Ssl    0:00 /usr/libexec/gvfsd-metadata
   2874 ?        Sl    14:37 /usr/bin/gnome-software --gapplication-service
   2876 ?        Sl     0:21 update-notifier
   2993 ?        Sl     0:14 /usr/bin/snap userd
   3239 pts/1    Ss+    0:00 /bin/bash
   3787 pts/2    Ss     0:00 bash
   6427 ?        S      0:02 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
  10256 pts/6    Ss     0:00 bash
  10308 pts/7    Ss+    0:00 bash
  10322 pts/8    Ss+    0:00 bash
  10330 pts/9    Ss     0:00 bash
  10350 pts/9    S      0:00 sudo -s
  10351 pts/9    S+     0:00 /bin/bash
  11464 ?        Sl     0:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
  11475 ?        Sl     0:00 /usr/libexec/gvfsd-network --spawner :1.3 /org/gtk/gvfs/exec_spaw/1
  11501 ?        Sl     0:00 /usr/libexec/gvfsd-dnssd --spawner :1.3 /org/gtk/gvfs/exec_spaw/3
  18698 ?        I<     0:16 [kworker/2:2H-events_highpri]
  28195 pts/10   Ss+    0:01 bash
  45280 pts/12   Ss+    0:00 bash
  45307 pts/13   Ss     0:00 bash
  57280 ?        I<     0:16 [kworker/1:2H-kblockd]
  63328 pts/3    Ss     0:00 bash
  63349 pts/4    Ss     0:00 bash
  63372 pts/5    Ss     0:00 bash
  65018 pts/4    S+     0:21 ssh 192.168.1.40
  65021 pts/3    S+     0:40 ssh 192.168.1.40
  65054 pts/5    S+     3:43 ssh 192.168.1.40
  65401 pts/11   Ss     0:00 bash
  65408 pts/11   S+     3:06 ssh 192.168.1.40
  65795 pts/13   S+     0:01 ssh 192.168.1.40
  77045 pts/14   Ss+    0:00 bash
  77619 pts/2    S+     0:00 ssh t3ch@lokkal.com -p 7983
  77623 pts/6    S+     0:00 ssh t3ch@lokkal.com -p 7983
 142367 ?        Sl     0:00 /usr/libexec/gvfsd-burn --spawner :1.3 /org/gtk/gvfs/exec_spaw/4
 171987 pts/15   Ss     0:00 bash
 171999 pts/15   S+     0:01 ssh 192.168.1.40
 174723 pts/16   Ss     0:00 bash
 176865 ?        I<     0:04 [kworker/3:2H-events_highpri]
 212546 pts/17   Ss     0:00 bash
 212614 pts/17   S+     0:00 sudo nano php.ini
 212616 pts/17   S+     0:00 nano php.ini
 225514 ?        I      0:03 [kworker/0:1-events]
 228077 ?        I      0:03 [kworker/1:2-events]
 229460 ?        I      0:00 [kworker/3:0-events]
 229571 ?        Ssl    0:01 /usr/libexec/fwupd/fwupd
 229691 ?        I      0:01 [kworker/u8:2-i915]
 230019 ?        I      0:01 [kworker/u8:0-events_unbound]
 230306 ?        S<     0:00 [loop22]
 230387 ?        I      0:00 [kworker/2:3-events]
 230422 ?        Ssl    0:03 /usr/lib/snapd/snapd
 230572 ?        I      0:00 [kworker/1:0-events]
 230769 ?        I      0:00 [kworker/3:1-events]
 230784 ?        I      0:00 [kworker/0:0-events]
 230786 ?        Ss     0:00 /usr/sbin/cupsd -l
 230787 ?        Ssl    0:00 /usr/sbin/cups-browsed
 230804 ?        Sl     0:00 /usr/bin/gnome-calendar --gapplication-service
 230810 ?        SLl    0:00 /usr/bin/seahorse --gapplication-service
 230920 ?        I      0:00 [kworker/2:0-events]
 231221 ?        I      0:00 [kworker/u8:3-i915]
 231271 ?        I      0:00 [kworker/3:2-events]
 231371 ?        I      0:00 [kworker/0:2-events]
 231394 ?        I      0:00 [kworker/u8:1-i915]
 231465 ?        I      0:00 [kworker/1:1-events]
 231466 ?        I      0:00 [kworker/2:1-events]
 231467 ?        I      0:00 [kworker/3:3-events]
 231468 ?        I      0:00 [kworker/1:3-events]
 231469 ?        I      0:00 [kworker/0:3-events]
 231470 ?        I      0:00 [kworker/1:4-events]
 231471 ?        I      0:00 [kworker/3:4-events]
 231472 ?        I      0:00 [kworker/3:5-events]
 231473 ?        I      0:00 [kworker/1:5-events]
 231474 ?        I      0:00 [kworker/1:6-events]
 231475 ?        I      0:00 [kworker/1:7]
 231476 ?        I      0:00 [kworker/3:6-events]
 231477 ?        I      0:00 [kworker/0:4-events]
 231478 ?        I      0:00 [kworker/3:7-events]
 231479 ?        I      0:00 [kworker/0:5-events]
 231480 ?        I      0:00 [kworker/1:8-events]
 231488 pts/16   R+     0:00 ps -A x
